species,year,BO21_tempmax_bdmin_mean,central_depth
Didemnum vexillum,2001,17.2458409251783,NA
Didemnum vexillum,2002,17.2458409251783,NA
Didemnum vexillum,2004,17.2458409251783,NA
Didemnum vexillum,2006,17.2458409251783,NA
Didemnum vexillum,2008,17.2458409251783,21.05483214318947
Didemnum vexillum,2009,17.2458409251783,20.77875981696525
Didemnum vexillum,2010,17.2458409251783,16.88581923352082
Didemnum vexillum,2012,17.2458409251783,24.03844095270743
Didemnum vexillum,2013,17.2458409251783,10.110249786992375
Didemnum vexillum,2014,17.2458409251783,25.054206395078996
Didemnum vexillum,2015,17.2458409251783,22.179539743815724
Didemnum vexillum,2017,17.2458409251783,11.802273928460412
Didemnum vexillum,2018,17.2458409251783,11.70531466625194
Didemnum vexillum,2020,17.2458409251783,7.030263912471223
Didemnum vexillum,2022,17.2458409251783,7
Didemnum vexillum,2023,17.2458409251783,9.805147195237025
Diplosoma listerianum,1991,18.6695952263858,8.83040328696017
Diplosoma listerianum,1995,18.6695952263858,7
Diplosoma listerianum,2001,18.6695952263858,9.236064536889662
Diplosoma listerianum,2002,18.6695952263858,8.980036543076313
Diplosoma listerianum,2004,18.6695952263858,14.92293641319669
Diplosoma listerianum,2006,18.6695952263858,25.9
Diplosoma listerianum,2008,18.6695952263858,25.9
Diplosoma listerianum,2009,18.6695952263858,7.307858076129904
Diplosoma listerianum,2010,18.6695952263858,9.293721697628921
Diplosoma listerianum,2012,18.6695952263858,NA
Diplosoma listerianum,2013,18.6695952263858,9
Diplosoma listerianum,2014,18.6695952263858,NA
Diplosoma listerianum,2015,18.6695952263858,NA
Diplosoma listerianum,2017,18.6695952263858,NA
Diplosoma listerianum,2018,18.6695952263858,NA
Diplosoma listerianum,2020,18.6695952263858,NA
Diplosoma listerianum,2022,18.6695952263858,NA
Diplosoma listerianum,2023,18.6695952263858,25.9
Ectopleura spp.,1991,18.9097932073017,11.79193710089329
Ectopleura spp.,1995,18.9097932073017,14.21043861079936
Ectopleura spp.,2001,18.9097932073017,7.027837624966327
Ectopleura spp.,2002,18.9097932073017,8.614602636614904
Ectopleura spp.,2004,18.9097932073017,8.363773135484495
Ectopleura spp.,2006,18.9097932073017,9.94739338651982
